date,unit,id_phy,phy_name,id_site,id,mean,data_coverage,max
2024-06-15,microg/m3,39,PM2.5,GAPJAURES,P2GAPJAURES,6.920833333333333,1.0,14.0
2024-06-16,microg/m3,39,PM2.5,GAPJAURES,P2GAPJAURES,3.8791666666666664,1.0,8.7
2024-06-17,microg/m3,39,PM2.5,GAPJAURES,P2GAPJAURES,6.825,1.0,12.9
2024-06-18,microg/m3,39,PM2.5,GAPJAURES,P2GAPJAURES,,0.4166666666666667,
2024-06-13,degre,54,TC,AIXCEN,TsAIXC,22.804347826086957,1.0,23.2
2024-06-14,degre,54,TC,AIXCEN,TsAIXC,22.83333333333333,1.0,23.1
2024-06-15,degre,54,TC,AIXCEN,TsAIXC,22.78333333333333,1.0,23.1
2024-06-16,degre,54,TC,AIXCEN,TsAIXC,22.716666666666665,1.0,23.2
2024-06-17,degre,54,TC,AIXCEN,TsAIXC,22.6375,1.0,23.1
2024-06-18,degre,54,TC,AIXCEN,TsAIXC,,0.4166666666666667,
2024-06-13,microg/m3,03,NO2,SALON,N2SALON,5.369565217391304,1.0,9.6
2024-06-14,microg/m3,03,NO2,SALON,N2SALON,6.158333333333332,1.0,11.6
2024-06-15,microg/m3,03,NO2,SALON,N2SALON,6.333333333333333,1.0,25.1
2024-06-16,microg/m3,03,NO2,SALON,N2SALON,5.095833333333334,1.0,13.9
2024-06-17,microg/m3,03,NO2,SALON,N2SALON,9.054166666666665,1.0,28.2
2024-06-18,microg/m3,03,NO2,SALON,N2SALON,,0.4166666666666667,
2024-06-13,microg/m3,02,NO,SALON,NOSALON,0.39565217391304347,1.0,1.0
2024-06-14,microg/m3,02,NO,SALON,NOSALON,0.4416666666666666,1.0,1.3
2024-06-15,microg/m3,02,NO,SALON,NOSALON,0.4208333333333334,1.0,1.4
2024-06-16,microg/m3,02,NO,SALON,NOSALON,0.18333333333333335,1.0,0.5
2024-06-17,microg/m3,02,NO,SALON,NOSALON,1.1333333333333335,1.0,10.0
2024-06-18,microg/m3,02,NO,SALON,NOSALON,,0.4166666666666667,
2024-06-13,microg/m3,12,NOX,SALON,NXSALON,5.969565217391303,1.0,10.0
2024-06-14,microg/m3,12,NOX,SALON,NXSALON,6.841666666666668,1.0,13.2
2024-06-15,microg/m3,12,NOX,SALON,NXSALON,6.958333333333332,1.0,27.2
2024-06-16,microg/m3,12,NOX,SALON,NXSALON,5.379166666666666,1.0,14.0
2024-06-17,microg/m3,12,NOX,SALON,NXSALON,10.766666666666666,1.0,43.5
2024-06-18,microg/m3,12,NOX,SALON,NXSALON,,0.4166666666666667,
2024-06-13,microg/m3,08,O3,SALON,O3SALON,88.5304347826087,1.0,103.1
2024-06-14,microg/m3,08,O3,SALON,O3SALON,75.37083333333332,1.0,83.4
2024-06-15,microg/m3,08,O3,SALON,O3SALON,67.72916666666667,1.0,90.4
2024-06-16,microg/m3,08,O3,SALON,O3SALON,67.84583333333335,1.0,85.2
2024-06-17,microg/m3,08,O3,SALON,O3SALON,67.85000000000001,1.0,91.1
2024-06-18,microg/m3,08,O3,SALON,O3SALON,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,SALON,PCSALON,8.430434782608694,1.0,11.3
2024-06-14,microg/m3,24,PM10,SALON,PCSALON,13.195833333333333,1.0,64.5
2024-06-15,microg/m3,24,PM10,SALON,PCSALON,7.441666666666667,1.0,12.0
2024-06-16,microg/m3,24,PM10,SALON,PCSALON,6.383333333333333,1.0,10.1
2024-06-17,microg/m3,24,PM10,SALON,PCSALON,10.075000000000001,1.0,14.7
2024-06-18,microg/m3,24,PM10,SALON,PCSALON,,0.4166666666666667,
2024-06-13,degreC,54,TC,SALON,tsSALON,22.704347826086952,1.0,23.0
2024-06-14,degreC,54,TC,SALON,tsSALON,22.745833333333334,1.0,22.9
2024-06-15,degreC,54,TC,SALON,tsSALON,22.79583333333333,1.0,23.0
2024-06-16,degreC,54,TC,SALON,tsSALON,22.741666666666664,1.0,23.2
2024-06-17,degreC,54,TC,SALON,tsSALON,22.691666666666663,1.0,23.0
2024-06-18,degreC,54,TC,SALON,tsSALON,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,GAPCOM,BDGAPCOM,10.904347826086953,1.0,15.6
2024-06-14,microg/m3,24,PM10,GAPCOM,BDGAPCOM,11.333333333333334,1.0,18.1
2024-06-15,microg/m3,24,PM10,GAPCOM,BDGAPCOM,11.100000000000001,1.0,18.3
2024-06-16,microg/m3,24,PM10,GAPCOM,BDGAPCOM,8.520833333333336,1.0,17.4
2024-06-17,microg/m3,24,PM10,GAPCOM,BDGAPCOM,13.258333333333333,1.0,20.8
2024-06-18,microg/m3,24,PM10,GAPCOM,BDGAPCOM,,0.375,
2024-06-13,microg/m3,39,PM2.5,GAPCOM,B2GAPCOM,7.856521739130436,1.0,14.5
2024-06-14,microg/m3,39,PM2.5,GAPCOM,B2GAPCOM,8.575000000000001,1.0,12.4
2024-06-15,microg/m3,39,PM2.5,GAPCOM,B2GAPCOM,8.625,1.0,13.6
2024-06-16,microg/m3,39,PM2.5,GAPCOM,B2GAPCOM,6.079166666666665,1.0,12.5
2024-06-17,microg/m3,39,PM2.5,GAPCOM,B2GAPCOM,8.825,1.0,15.1
2024-06-18,microg/m3,39,PM2.5,GAPCOM,B2GAPCOM,,0.375,
2024-06-13,microg/m3,39,PM2.5,OHP,P2OHP,2.5047619047619043,0.9130434782608695,3.4
2024-06-14,microg/m3,39,PM2.5,OHP,P2OHP,4.091666666666668,1.0,6.2
2024-06-15,microg/m3,39,PM2.5,OHP,P2OHP,3.4791666666666674,1.0,5.9
2024-06-16,microg/m3,39,PM2.5,OHP,P2OHP,2.6458333333333335,1.0,3.3
2024-06-17,microg/m3,39,PM2.5,OHP,P2OHP,4.408333333333332,1.0,6.8
2024-06-18,microg/m3,39,PM2.5,OHP,P2OHP,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,OHP,PCOHP,5.971428571428571,0.9130434782608695,9.9
2024-06-14,microg/m3,24,PM10,OHP,PCOHP,8.420833333333334,1.0,11.4
2024-06-15,microg/m3,24,PM10,OHP,PCOHP,5.733333333333333,1.0,9.2
2024-06-16,microg/m3,24,PM10,OHP,PCOHP,4.833333333333333,1.0,7.0
2024-06-17,microg/m3,24,PM10,OHP,PCOHP,9.145833333333332,1.0,13.1
2024-06-18,microg/m3,24,PM10,OHP,PCOHP,,0.4166666666666667,
2024-06-13,microg/m3,39,PM2.5,MANOSQ,P2MANOSQ,3.538095238095239,0.9130434782608695,13.5
2024-06-14,microg/m3,39,PM2.5,MANOSQ,P2MANOSQ,4.7875,1.0,7.3
2024-06-15,microg/m3,39,PM2.5,MANOSQ,P2MANOSQ,3.9041666666666663,1.0,6.8
2024-06-16,microg/m3,39,PM2.5,MANOSQ,P2MANOSQ,3.154166666666667,1.0,4.2
2024-06-17,microg/m3,39,PM2.5,MANOSQ,P2MANOSQ,4.879166666666667,1.0,7.2
2024-06-18,microg/m3,39,PM2.5,MANOSQ,P2MANOSQ,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,MANOSQ,PCMANOSQ,12.44761904761905,0.9130434782608695,88.4
2024-06-14,microg/m3,24,PM10,MANOSQ,PCMANOSQ,11.8125,1.0,28.5
2024-06-15,microg/m3,24,PM10,MANOSQ,PCMANOSQ,6.937500000000001,1.0,12.6
2024-06-16,microg/m3,24,PM10,MANOSQ,PCMANOSQ,6.687500000000001,1.0,12.3
2024-06-17,microg/m3,24,PM10,MANOSQ,PCMANOSQ,12.220833333333331,1.0,18.7
2024-06-18,microg/m3,24,PM10,MANOSQ,PCMANOSQ,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,AIXCEN,BDAIXCEN,26.786956521739132,1.0,169.4
2024-06-14,microg/m3,24,PM10,AIXCEN,BDAIXCEN,20.325000000000003,1.0,55.3
2024-06-15,microg/m3,24,PM10,AIXCEN,BDAIXCEN,16.599999999999998,1.0,27.3
2024-06-16,microg/m3,24,PM10,AIXCEN,BDAIXCEN,11.820833333333335,1.0,18.2
2024-06-17,microg/m3,24,PM10,AIXCEN,BDAIXCEN,16.629166666666666,1.0,28.9
2024-06-18,microg/m3,24,PM10,AIXCEN,BDAIXCEN,,0.375,
2024-06-13,degreC,54,TC,MGTS,tcMGTS,19.26521739130435,1.0,23.2
2024-06-14,degreC,54,TC,MGTS,tcMGTS,20.450000000000006,1.0,21.8
2024-06-15,degreC,54,TC,MGTS,tcMGTS,21.816666666666666,1.0,24.9
2024-06-16,degreC,54,TC,MGTS,tcMGTS,20.51666666666667,1.0,22.7
2024-06-17,degreC,54,TC,MGTS,tcMGTS,21.770833333333332,1.0,24.0
2024-06-18,degreC,54,TC,MGTS,tcMGTS,,0.4166666666666667,
2024-06-13,m/s,51,VV,MGTS,VVMGTS,4.034782608695652,1.0,6.0
2024-06-14,m/s,51,VV,MGTS,VVMGTS,3.204166666666666,1.0,5.2
2024-06-15,m/s,51,VV,MGTS,VVMGTS,3.1458333333333335,1.0,4.8
2024-06-16,m/s,51,VV,MGTS,VVMGTS,3.0208333333333326,1.0,4.6
2024-06-17,m/s,51,VV,MGTS,VVMGTS,2.558333333333333,1.0,4.2
2024-06-18,m/s,51,VV,MGTS,VVMGTS,,0.4166666666666667,
2024-06-13,ng/m3,97,Hg_gaz,MLVR,HgMLVR,3.3130434782608695,1.0,10.0
2024-06-14,ng/m3,97,Hg_gaz,MLVR,HgMLVR,2.3375,1.0,2.6
2024-06-15,ng/m3,97,Hg_gaz,MLVR,HgMLVR,2.566666666666667,1.0,5.0
2024-06-16,ng/m3,97,Hg_gaz,MLVR,HgMLVR,4.054166666666667,1.0,9.9
2024-06-17,ng/m3,97,Hg_gaz,MLVR,HgMLVR,2.3875,1.0,3.3
2024-06-18,ng/m3,97,Hg_gaz,MLVR,HgMLVR,,0.4166666666666667,
2024-06-13,m/s,51,VV,MNDM,vvMNDM,4.743478260869565,1.0,6.1
2024-06-14,m/s,51,VV,MNDM,vvMNDM,3.620833333333333,1.0,6.2
2024-06-15,m/s,51,VV,MNDM,vvMNDM,,0.2916666666666667,
2024-06-16,m/s,51,VV,MNDM,vvMNDM,3.3833333333333333,1.0,5.2
2024-06-17,m/s,51,VV,MNDM,vvMNDM,2.654166666666667,1.0,4.4
2024-06-18,m/s,51,VV,MNDM,vvMNDM,,0.4166666666666667,
2024-06-13,degreC,54,TC,MNDM,tcMNDM,19.973913043478266,1.0,23.9
2024-06-14,degreC,54,TC,MNDM,tcMNDM,21.6875,1.0,23.1
2024-06-15,degreC,54,TC,MNDM,tcMNDM,,0.2916666666666667,
2024-06-16,degreC,54,TC,MNDM,tcMNDM,21.141666666666666,1.0,24.0
2024-06-17,degreC,54,TC,MNDM,tcMNDM,23.129166666666666,1.0,25.8
2024-06-18,degreC,54,TC,MNDM,tcMNDM,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,MEDE,BDMEDE,17.217391304347824,1.0,25.9
2024-06-14,microg/m3,24,PM10,MEDE,BDMEDE,23.075,1.0,35.5
2024-06-15,microg/m3,24,PM10,MEDE,BDMEDE,17.075000000000003,1.0,27.3
2024-06-16,microg/m3,24,PM10,MEDE,BDMEDE,12.450000000000001,1.0,19.0
2024-06-17,microg/m3,24,PM10,MEDE,BDMEDE,16.866666666666667,1.0,32.6
2024-06-18,microg/m3,24,PM10,MEDE,BDMEDE,,0.375,
2024-06-13,degre,54,TC,OHP,tsOHP,22.708695652173912,1.0,24.1
2024-06-14,degre,54,TC,OHP,tsOHP,22.366666666666664,1.0,23.2
2024-06-15,degre,54,TC,OHP,tsOHP,21.94583333333333,1.0,24.0
2024-06-16,degre,54,TC,OHP,tsOHP,22.204166666666662,1.0,23.7
2024-06-17,degre,54,TC,OHP,tsOHP,22.037499999999998,1.0,23.3
2024-06-18,degre,54,TC,OHP,tsOHP,,0.4166666666666667,
2024-06-13,microg/m3,24,PM10,PDBL,BDPDBL,13.713043478260872,1.0,43.4
2024-06-14,microg/m3,24,PM10,PDBL,BDPDBL,13.958333333333336,1.0,18.6
2024-06-15,microg/m3,24,PM10,PDBL,BDPDBL,15.254166666666668,1.0,28.8
2024-06-16,microg/m3,24,PM10,PDBL,BDPDBL,10.666666666666664,1.0,18.2
2024-06-17,microg/m3,24,PM10,PDBL,BDPDBL,12.441666666666668,1.0,20.8
2024-06-18,microg/m3,24,PM10,PDBL,BDPDBL,,0.375,
